휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,,데이터갱신구분,,업태구분명,위생업태명,Latitude,Longitude
,,,26,137-787,서울특별시 서초구 양재동 232 AT센터 제1전시장,"서울특별시 서초구 강남대로 27, AT센터 제1전시장 (양재동)",6774,(주)커피지아,,U,,커피숍,,37.46825646,127.0391413
,,,3,130-851,"서울특별시 동대문구 전농동 591-53 청량리역,롯데백화점","서울특별시 동대문구 왕산로 214, 청량리역,롯데백화점 1층 (전농동)",2555,솔아띠몽,,U,,기타 휴게음식점,,37.58097731,127.0469924
,,,4.7,152-841,서울특별시 구로구 구로동 97-4 하나세인스톤2차,"서울특별시 구로구 가마산로 284, 지하1층 (구로동, 하나세인스톤2차)",8302,하나스크린골프,,I,,일반조리판매,,37.49647581,126.891921
,,,20.83,135-902,서울특별시 강남구 압구정동 494 갤러리아백화점,"서울특별시 강남구 압구정로 343, 갤러리아백화점 WEST동 지하1층 (압구정동)",6008,킷사앤사보,,I,,백화점,,37.52856183,127.0400546
,,,63.47,136-084,서울특별시 성북구 보문동4가 17,"서울특별시 성북구 보문로 88, 1층 (보문동4가)",2852,메가엠지씨커피 성북보문점,,I,,커피숍,,37.58314187,127.0208148
,,,6.05,151-841,서울특별시 관악구 봉천동 1562-17,"서울특별시 관악구 쑥고개로 78, 1층 (봉천동)",8831,썬푸드 딜리버리 관악점,,I,,커피숍,,37.47925145,126.9450568
,,,23.76,110-111,서울특별시 종로구 관철동 7-11 예지빌딩,"서울특별시 종로구 종로14길 19, 예지빌딩 지상 4층 (관철동)",3190,옵티멈존 PC카페 종각2호점,,I,,기타 휴게음식점,,37.56907503,126.9870564
,,,4.56,121-894,서울특별시 마포구 서교동 380-17,"서울특별시 마포구 양화로7안길 38, 1층 (서교동)",4034,사계 김밥,,I,,기타 휴게음식점,,37.55328425,126.915266
,,,32,121-865,서울특별시 마포구 연남동 224-14,"서울특별시 마포구 동교로52길 4-3, B01호 (연남동)",3981,보통공간,,I,,커피숍,,37.56395882,126.9267785
,,,3.3,130-831,서울특별시 동대문구 이문동 315-4,"서울특별시 동대문구 휘경로2길 29, 상가동 1층 1,2호 (이문동)",2441,씨유(CU) 외대이문점,,I,,편의점,,37.59481275,127.0606822
,,,23.8,157-210,서울특별시 강서구 마곡동 757-5 프라이빗타워타워1차,"서울특별시 강서구 마곡중앙로 165, 프라이빗타워타워1차 1층 114호 (마곡동)",7788,칼도 에스프레소바,,I,,커피숍,,37.56856291,126.8277047
,,,33,133-848,서울특별시 성동구 용답동 73-2,"서울특별시 성동구 천호대로 292, 1층 (용답동)",4804,?커피,,I,,커피숍,,37.56624669,127.05296
,,,89.25,121849,서울특별시 마포구 성산동 515 월드컵주경기장,"서울특별시 마포구 월드컵로 240, 홈플러스 월드컵점 2층 x9.5,yuw호 (성산동)",3932,팜스365,,I,,커피숍,,37.56999242,126.8990304
,,,6.6,142-882,서울특별시 강북구 수유동 293-2,"서울특별시 강북구 인수봉로76길 37, 1층 (수유동)",1031,이마트24 수유본점,,I,,편의점,,37.64427493,127.0127053
,,,34,130-090,서울특별시 동대문구 휘경동 377 이문휘경 지웰에스테이트,"서울특별시 동대문구 외대역동로 63-12, c동 105호 (휘경동, 이문휘경 지웰에스테이트)",2432,골든밀,,I,,일반조리판매,,37.59434893,127.0639645
,,,54.41,135-840,서울특별시 강남구 대치동 891-44 노벨과개미,"서울특별시 강남구 테헤란로78길 16, 노벨과개미 지상2층 (대치동)",6194,메가엠지씨커피 대치포스코점,,U,,커피숍,,37.50520236,127.0553915
,,7041786799,29.09,157-210,서울특별시 강서구 마곡동 760-0 마곡나루역보타닉푸르지오시티 1층 133호,"서울특별시 강서구 마곡중앙5로 6, 마곡나루역보타닉푸르지오시티 1층 133호 (마곡동)",7788,슈퍼브커피로스터스 마곡나루역점,,U,,커피숍,,37.56731824,126.827002
,,,26.69,121-806,서울특별시 마포구 노고산동 1-3 신촌포스빌,"서울특별시 마포구 신촌로 150, 1층 103호 (노고산동, 신촌포스빌)",4104,시드위드(seed with),,U,,기타 휴게음식점,,37.55622579,126.9422691
,,,33,151-895,서울특별시 관악구 신림동 1538-14,"서울특별시 관악구 대학길 46, 1층 (신림동)",8813,김호두(신림점),,U,,커피숍,,37.46868862,126.9375637
